UMAP1,UMAP2,label
-5.920014891,-15.91761859,Bladder
6.587076165,-9.859024145,SmallIntestine
-7.853183404,-8.975302188,MammaryGland Virgin CD45
-11.11327999,3.058876455,BoneMarrowcKit
4.717666804,2.234992313,FetalLung
4.791976038,1.946594164,FetalLung
15.79009618,4.277494767,Lung
8.386440578,-16.43002031,MammaryGland Lactation
6.544996725,2.448060074,FetalIntestine
-17.89810894,-6.820154787,Testis
6.186489211,-6.873051839,BoneMarrowcKit
5.673139631,-10.52484331,SmallIntestine
-1.622677627,-7.742070805,MammaryGland Involution
7.553321783,-1.829534429,CJ7 EB14 Ezh2
-1.248234864,7.510949925,EB
1.139097989,-3.197224609,MesenchymalStemCellsPrimary
-8.877956097,-9.517942785,MammaryGland Virgin CD45
7.665354871,-1.814750838,CJ7 EB14 Ezh2
10.1227759,11.73878383,BoneMarrowcKit
1.574674072,0.951555787,FetalLung
4.534107166,0.107336454,FetalIntestine
1.822264183,-7.515933224,Placenta
11.11310308,-15.04545875,MammaryGland Lactation
5.546185826,2.755870348,FetalKidney
5.775324522,4.566247697,Female fetal Gonad
-1.526233972,7.360530254,EB
5.791882395,3.16597732,Female fetal Gonad
6.30945707,-10.16263869,SmallIntestine
1.582780998,-3.092052333,MesenchymalStemCellsPrimary
5.689373439,-6.795823324,NeonatalRib
-5.085806025,-2.852053979,NeonatalSkin
6.846701069,0.994665755,NeontalBrain
7.575559168,-5.623546084,BoneMarrowcKit
-0.764760097,-7.072518843,Liver
-8.871552857,8.73401585,Female fetal Gonad
5.333068221,-6.516446084,BoneMarrowcKit
-2.162438796,7.493457757,EB
3.14921859,-3.364692837,MesenchymalStemCellsPrimary
5.435273555,2.991026692,Female fetal Gonad
4.064579178,9.941452375,EmbryonicStemCells
-7.865453878,-0.081372,NeonatalRib
-0.287857996,7.151987656,EB
3.91489435,10.05499494,EmbryonicStemCells
-6.728254386,-0.968579512,NeonatalCalvaria
-3.124086017,12.77446306,TrophoblastStemCells
-2.902524496,-2.792533226,NeonatalHeart
1.007155916,-6.440483634,EmbryonicMesenchyme
12.47118364,0.027125585,Pancreas
-3.301028656,-5.953201182,Pancreas
-15.33329892,-5.844739921,Testis
2.672503379,14.68260402,MesenchymalStemCells
-11.2033965,4.147410123,BoneMarrowcKit
1.747629575,-3.212753994,MesenchymalStemCellsPrimary
12.01405085,12.82041826,BoneMarrowcKit
5.645862108,3.101058832,FetalKidney
0.776434687,-6.638416278,EmbryonicMesenchyme
-10.8771582,2.767469694,BoneMarrowcKit
0.212666472,8.324595323,CJ7 EB14 WT
3.437412624,9.50875637,EmbryonicStemCells
-0.757216021,8.455939104,CJ7 EB14 WT
1.210450029,-6.467065681,FetalPancreas
-16.09124173,-5.956552629,Testis
-4.130508603,-12.87104632,MammaryGland Involution CD45
-1.933684898,-3.64099853,Ovary
-8.351687547,8.263418193,FetalIntestine
-0.406679116,7.052224782,EB
-2.688155193,11.56460418,TrophoblastStemCells
9.062844665,-15.41862432,MammaryGland Lactation
-1.088617321,-6.478359083,Liver
-0.867541364,7.85821327,EB
10.15368405,11.50134755,BoneMarrowcKit
-2.330635036,11.24996326,TrophoblastStemCells
0.928155008,-3.052695628,NeonatalRib
-8.784776288,-10.66136447,MammaryGland Virgin CD45
2.71454781,9.516125359,EmbryonicStemCells
-1.319286996,5.968159229,CJ7 EB14 Ezh2
-0.346017473,-11.1374314,MammaryGland Pregnancy
8.800237625,2.580777536,Ovary
3.172864833,15.18346842,MesenchymalStemCells
5.71636694,3.714262263,Male fetal Gonad
-12.32346001,12.47568012,FetalIntestine
2.439071936,0.899550734,FetalIntestine
6.982759955,4.206731673,FetalKidney
6.426082466,-1.249054956,EB
4.532430056,-4.026877779,MesenchymalStemCellsPrimary
-6.86049293,-0.667036847,NeonatalCalvaria
-14.05681493,-4.573886936,Testis
6.762683022,-5.378619302,BoneMarrow
5.303547546,3.162640392,Female fetal Gonad
5.875143734,-10.18625386,SmallIntestine
-3.474417811,-5.789139182,Pancreas
9.908702133,12.29215117,BoneMarrow
15.17600446,-2.035005385,Thymus
-7.343063261,-18.00842088,Pancreas
-7.013042421,-8.036787512,Bladder
-1.149334064,-6.494152816,Liver
-2.997838893,13.348368,TrophoblastStemCells
9.969934154,1.549713478,FetalBrain
-5.755086762,1.379296895,NeonatalRib
3.548553378,-6.915433102,BoneMarrow
3.657070761,0.972108014,FetalLung
3.139758132,15.40716678,MesenchymalStemCells
8.692728445,5.147606857,Placenta
10.25810385,-15.80130977,MammaryGland Lactation
5.675264104,-6.630934308,BoneMarrowcKit
0.895564927,6.446177884,Unannotated
-4.355915511,-2.56765338,NeonatalSkin
-0.088669182,8.831081713,CJ7 EB14 WT
-0.404808572,-10.1309892,Spleen
-4.358125618,-13.03451565,MammaryGland Involution
-14.97937891,-4.985589287,Testis
2.812584236,14.74724619,MesenchymalStemCells
2.764668739,9.216807621,EmbryonicStemCells
-0.877973668,-7.103718446,Liver
10.42931454,-15.5723933,MammaryGland Lactation
-0.437834969,7.240299845,EB
-6.676679419,0.28401105,NeonatalCalvaria
-5.872042228,-15.86922508,Bladder
4.2588278,-2.618171792,Female fetal Gonad
-13.14664725,-3.61448566,Testis
7.178184373,-5.421051284,BoneMarrowcKit
15.29334152,-1.786210051,Thymus
10.49335701,-1.211764169,Kidney
-10.22704838,4.32193732,BoneMarrow
-0.961647416,7.05534435,EB
-0.957216947,-12.23223406,MammaryGland Pregnancy
5.741163703,2.558109426,FetalKidney
3.366819903,9.614186718,EmbryonicStemCells
-10.5424094,2.701462831,BoneMarrowcKit
2.591067347,-8.839885753,Lung
10.8801992,-1.313865935,Kidney
6.720168434,3.603327276,FetalKidney
-7.566067117,0.092159227,NeonatalCalvaria
-13.18696534,-4.094168957,Testis
0.986484537,1.010498158,FetalStomach
1.111735669,-3.180773636,MesenchymalStemCellsPrimary
3.289163016,-3.3552491,MesenchymalStemCellsPrimary
0.281158351,8.353348665,CJ7 EB14 WT
-9.42007228,-9.988914445,MammaryGland Virgin
-14.72796212,-4.506030275,Testis
0.624404347,7.969124328,CJ7 EB14 WT
4.406095592,1.781805657,FetalLung
11.47924798,11.97151522,BoneMarrowcKit
8.344293419,-15.52316724,MammaryGland Lactation
-0.714633423,-12.37793228,MammaryGland Pregnancy
-8.105060796,-8.713522729,Bladder
9.894619149,-4.461638218,NeonatalRib
-12.78619448,11.94499713,FetalIntestine
8.266309227,-15.37557119,MammaryGland Lactation
0.658730512,-6.881196942,NeontalBrain
9.046699952,-16.64311117,MammaryGland Lactation
2.052123669,1.372269613,Female fetal Gonad
-14.67518247,0.684661674,Brain
-9.96196054,10.61274608,FetalPancreas
-5.180496892,-3.072682057,NeonatalSkin
9.201845487,-16.35093511,MammaryGland Lactation
-4.681034267,-3.989097649,NeonatalMuscle
-3.442494506,-2.069353522,NeonatalSkin
-3.229195599,12.87957616,TrophoblastStemCells
-9.016758251,-10.14343762,MammaryGland Virgin CD45
-7.988485686,-8.978064792,MammaryGland Virgin CD45
-0.785892884,7.642288325,EB
10.94495457,12.07405102,BoneMarrowcKit
-3.736055317,-2.566695994,Uterus
0.179354556,8.27682456,CJ7 EB14 WT
-13.2642499,-3.70278703,Testis
-11.15941658,-12.86281911,Kidney
8.658061819,2.02952,Kidney
2.495596802,0.782065796,MesenchymalStemCellsPrimary
5.558355415,4.184568192,Female fetal Gonad
3.489047025,-8.990626358,Lung
-0.670197398,4.271748144,EB
2.982364689,9.375550494,EmbryonicStemCells
0.347549115,8.398381065,CJ7 EB14 WT
-10.14942997,2.059668324,BoneMarrowcKit
-0.052416164,8.364223624,CJ7 EB14 WT
-0.582093538,-12.48286322,MammaryGland Pregnancy
13.81406831,-11.29606192,Stomach
2.684731216,15.36453564,MesenchymalStemCells
-14.83429218,-5.55482698,Testis
3.704078165,1.338211423,FetalPancreas
3.018241106,0.705048596,FetalStomach
-1.400660343,8.529011265,CJ7 EB14 WT
-0.850645358,9.019143846,CJ7 EB14 WT
-17.594808,4.836511692,Prostate
9.858213919,12.15499123,BoneMarrow
-8.896225768,11.09734483,Brain
6.539255915,2.243649548,FetalIntestine
-14.51574843,-5.024512182,Testis
9.65034422,-16.04620631,MammaryGland Lactation
-6.306815489,9.136586647,NeonatalRib
-9.913263834,3.568701814,PeripheralBlood
-14.31095714,0.81284629,Brain
3.042195561,16.04610737,MesenchymalStemCells
-9.898891652,1.869386001,BoneMarrowcKit
3.230023285,15.38512672,MesenchymalStemCells
9.470131238,12.39898675,BoneMarrow
3.901785623,9.992030965,EmbryonicStemCells
-13.06892985,-3.891225356,Testis
13.66589123,-11.29477326,Stomach
-1.053594442,2.850425035,NeonatalRib
6.790624595,-6.553281508,BoneMarrowcKit
4.931609564,-0.241098734,EmbryonicMesenchyme
0.763998054,-10.54679841,Spleen
-2.636674558,-2.603230688,NeonatalHeart
-3.258529014,13.63909469,TrophoblastStemCells
4.926347675,4.313447916,Male fetal Gonad
2.548294483,-7.386791159,Placenta
-2.847203204,11.58806588,TrophoblastStemCells
-2.861975102,12.64142718,TrophoblastStemCells
8.996703371,-15.99175584,MammaryGland Lactation
-6.343264806,0.047996941,NeonatalCalvaria
-0.187169242,8.079684629,CJ7 EB14 WT
-9.86816437,3.20200053,PeripheralBlood
13.50616025,-10.51987601,Stomach
6.79331598,3.953230209,FetalKidney
-1.494687206,5.95778885,EB
-9.687027039,5.049743267,BoneMarrow
-10.08220584,10.70330874,FetalPancreas
9.149533368,-16.55217671,MammaryGland Lactation
3.718856367,0.997146042,FetalStomach
2.77205474,14.20588468,MesenchymalStemCells
0.137012247,8.629120307,CJ7 EB14 WT
-6.862278593,9.268339999,NeonatalMuscle
-1.080709722,8.521825716,mES
-17.2670977,-6.119176114,Testis
3.386062137,15.62006309,MesenchymalStemCells
8.262253081,3.080939393,Ovary
-7.496945202,15.35882616,SmallIntestine
-9.981546758,2.257415012,BoneMarrowcKit
6.799928229,0.523829188,FetalBrain
-11.33470376,3.452696584,BoneMarrowcKit
9.95052093,1.5567669,FetalBrain
5.002792249,2.890938333,FetalKidney
15.18030224,-1.639342651,Thymus
0.729495492,7.873938505,CJ7 EB14 WT
3.263873871,15.52960639,MesenchymalStemCells
6.15624098,-1.26670976,CJ7 EB14 Ezh2
6.849141236,-9.676603539,SmallIntestine
3.613985073,-20.18394578,SmallIntestine
4.013036496,9.993244226,EmbryonicStemCells
3.372199367,15.80260509,MesenchymalStemCells
1.239101953,-6.435039854,FetalLung
1.931020134,-7.513131681,PeripheralBlood
7.097118328,-10.45907872,SmallIntestine
-14.61034889,0.853577371,Brain
-1.058287814,-7.554225665,Liver
-15.04401861,-5.683821339,Testis
9.398379368,-15.6891058,MammaryGland Lactation
-6.677311322,-0.365723351,NeonatalCalvaria
7.310790067,-1.428478964,CJ7 EB14 Ezh2
3.795333391,-12.15981031,SmallIntestine
4.068910075,10.03615708,EmbryonicStemCells
-9.931139517,2.150922098,BoneMarrowcKit
-1.07102977,3.525667939,EB
3.573412883,-20.18542522,SmallIntestine
4.020908516,9.703287912,EmbryonicStemCells
-1.318641518,5.383789023,EB
-0.463181412,-10.30281934,PeripheralBlood
-4.234313186,-12.87393715,MammaryGland Involution CD45
2.008464953,-7.461038659,Placenta
4.031842098,9.784703908,EmbryonicStemCells
0.120695272,8.548226777,CJ7 EB14 WT
-2.116921733,-2.979640183,MammaryGland Involution CD45
-0.71763086,-12.50591357,MammaryGland Pregnancy
-8.258787189,-9.595479822,MammaryGland Virgin CD45
1.335870186,2.754948187,Muscle
5.720233344,-9.466310202,SmallIntestine
4.876338953,2.355799926,FetalLung
-1.162841808,8.400922373,CJ7 EB14 WT
-8.145490719,-8.506114655,MammaryGland Virgin CD45
2.372835239,15.68537336,MesenchymalStemCells
-1.505227095,-3.731122373,NeonatalSkin
-12.96962576,11.72798466,FetalStomach
2.471204445,15.53518841,MesenchymalStemCells
-8.779421834,-10.5686712,MammaryGland Virgin CD45
-1.945485946,8.808822801,CJ7 EB14 WT
-2.737115153,13.20161284,TrophoblastStemCells
8.954194864,-16.34263506,MammaryGland Lactation
0.682833498,-6.778183739,FetalKidney
3.903530708,-12.06264029,SmallIntestine
3.032130072,14.7487372,MesenchymalStemCells
0.869320245,6.718431465,CJ7 EB14 WT
-6.411405265,-7.674526735,Bladder
-1.621785563,4.228317386,EB
